Simulation  index	species per genus
Simulation 0 mu= -17sigma= 0.9
	Genus 0	Species 10	[30, 125, 133, 147, 164, 193, 206, 239, 251, 283]
	Genus 1	Species 7	[61, 74, 83, 100, 248, 258, 270]
	Genus 2	Species 6	[37, 173, 205, 218, 221, 244]
	Genus 3	Species 11	[8, 23, 49, 56, 67, 75, 78, 188, 249, 271, 288]
	Genus 4	Species 12	[11, 53, 84, 97, 138, 151, 165, 204, 255, 272, 274, 284]
	Genus 5	Species 14	[1, 22, 35, 65, 101, 107, 119, 163, 186, 203, 217, 235, 246, 281]
	Genus 6	Species 8	[15, 110, 120, 128, 172, 214, 264, 267]
	Genus 7	Species 8	[16, 62, 114, 132, 134, 152, 153, 252]
	Genus 8	Species 11	[66, 96, 157, 167, 181, 196, 209, 229, 234, 241, 291]
	Genus 9	Species 6	[29, 70, 116, 137, 177, 289]
	Genus 10	Species 16	[3, 13, 68, 69, 94, 108, 124, 126, 156, 159, 213, 220, 230, 233, 269, 285]
	Genus 11	Species 6	[38, 59, 155, 190, 224, 254]
	Genus 12	Species 37	[18, 24, 27, 31, 36, 40, 41, 44, 48, 51, 52, 54, 57, 64, 79, 122, 141, 146, 148, 171, 174, 176, 179, 182, 189, 211, 212, 216, 222, 228, 250, 253, 260, 262, 266, 279, 299]
	Genus 13	Species 8	[42, 45, 105, 111, 135, 175, 215, 242]
	Genus 14	Species 6	[2, 9, 85, 162, 227, 236]
	Genus 15	Species 134	[0, 4, 5, 6, 7, 10, 12, 14, 17, 19, 20, 21, 25, 26, 28, 32, 33, 34, 39, 43, 46, 47, 50, 55, 58, 60, 63, 71, 72, 73, 76, 77, 80, 81, 82, 86, 87, 88, 89, 90, 91, 92, 93, 95, 98, 99, 102, 103, 104, 106, 109, 112, 113, 115, 117, 118, 121, 123, 127, 129, 130, 131, 136, 139, 140, 142, 143, 144, 145, 149, 150, 154, 158, 160, 161, 166, 168, 169, 170, 178, 180, 183, 184, 185, 187, 191, 192, 194, 195, 197, 198, 199, 200, 201, 202, 207, 208, 210, 219, 223, 225, 226, 231, 232, 237, 238, 240, 243, 245, 247, 256, 257, 259, 261, 263, 265, 268, 273, 275, 276, 277, 278, 280, 282, 286, 287, 290, 292, 293, 294, 295, 296, 297, 298]
